fuel_type_code,station_name,street_address,intersection_directions,city,state,zip,plus4,station_phone,status_code,expected_date,groups_with_access_code,access_days_time,cards_accepted,bd_blends,ng_fill_type_code,ng_psi,ev_level1_evse_num,ev_level2_evse_num,ev_dc_fast_count,ev_other_info,ev_network,ev_network_web,geocode_status,latitude,longitude,date_last_confirmed,id,location
CNG,Greene's Auto & Truck Service - Citizens Energy Group,111 W Raymond St,"I-65, exit onto Raymond Street W",Indianapolis,IN,46225,1937,317-786-6253,E,,Public - card key after hours,8am-5pm M-F; contact Mark Ryan at 317-927-4661 to arrange for card key,Cash M V,,Q,3000 3600,,,,,,,200-8,39.7363349,-86.160971,2011-05-31,147,POINT(-86.160971 39.7363349)
CNG,DTE Energy - Citizens Gas Fuel Co,117 N Winter St,"US-223 follow Business Route 223 into Adrian, station behind Adrian State Bank",Adrian,MI,49221,2042,517-264-4447  517-265-2144,E,,Public - call ahead,8am-4:30pm M-F,Cash,,Q,3000,,,,,,,200-8,41.8995629,-84.0375507,2012-02-29,156,POINT(-84.0375507 41.8995629)
CNG,Sandusky International,615 W Market St,"Columbus Avenue and Market Street, station is 3 blocks west of intersection",Sandusky,OH,44871,5012,,E,,Private access only,,,,Q,3000,,,,,,,200-8,41.454931,-82.717608,2011-02-28,185,POINT(-82.717608 41.454931)
CNG,Columbia Gas of Pennsylvania - Zappi Oil & Gas Co,44 Bridge St,"I-70, exit onto Jefferson Avenue S, right onto Oakland Avenue, left onto Bridge Street, station is on the right (SW side) near the Oakland and Jefferson Avenue intersection",Washington,PA,15301,5306,724-416-6324,P,2012-06-01,PLANNED - not yet accessible,24 hours daily; contact station for required company card; public - card key at all times,,,Q,3600,,,,,,,200-8,40.1775838,-80.2616651,2011-12-31,197,POINT(-80.2616651 40.1775838)
CNG,Clean Energy - Cheyenne Light Fuel & Power,1301 W 24th St,"From I-25 take exit 10, Missile Drive, go approximately 0.5 miles southeast to W 24th Street ( traffic light), turn northeast (left) onto W 24th Street.  Fueling Station is located approximately 0.5 blocks on right",Cheyenne,WY,82001,2601,307-778-2150,E,,Public - credit card at all times,24 hours daily,A D M V Voyager Wright_Exp,,B,3000 3600,,,,,,,200-8,41.1360534,-104.8319365,2011-06-30,215,POINT(-104.8319365 41.1360534)
CNG,Shell,131 Brainard Rd,"I-91, exit 27, at Murphy Road",Hartford,CT,6114,1604,860-278-7044,E,,Public - see hours,24 hours daily,Cash A D M V Voyager Wright_Exp,,Q,3000 3600,,,,,,,200-8,41.7369158,-72.660058,2012-02-29,248,POINT(-72.660058 41.7369158)
CNG,Entergy Gas Operations,4637 Florida Blvd,"I-10, exit 158 N, College Drive, left on Foster Drive, left on Florida, 1 block on right. Unmanned Sullivan Oil station.",Baton Rouge,LA,70805,4024,225-354-3289,E,,Public - credit card at all times,24 hours daily,M V FuelMan,,Q,3600,,,,,,,200-8,30.4507275,-91.1426352,2011-03-31,295,POINT(-91.1426352 30.4507275)
CNG,Entergy Gas Operations,8968 S Choctaw Dr,2 miles east of Airline Highway/Highway 61,Baton Rouge,LA,70815,,225-354-3289,E,,Public - card key at all times,24 hours daily,FuelMan,,Q,3600,,,,,,,200-8,30.4716104,-91.0887154,2011-03-31,296,POINT(-91.0887154 30.4716104)
CNG,Ohio Department of Transportation - District 12,5500 Transportation Blvd,At I-480,Garfield Heights,OH,44125,5396,,E,,Private access only,,,,B,3000,,,,,,,200-8,41.415286,-81.615551,2011-02-28,307,POINT(-81.615551 41.415286)
CNG,Elizabethtown Gas Co,520 Green Ln,,Union,NJ,7083,7136,,E,,Private access only,,,,B,3000,,,,,,,200-8,40.6765,-74.2483,2011-02-28,322,POINT(-74.2483 40.6765)
CNG,Clean Energy - O'Rourke,227 McCarty Rd,"I-10, McCarty exit or I-610 exit, Wallisville Road",Houston,TX,77029,1137,866-278-3674,E,,Public - credit card at all times,24 hours daily,M V Voyager CleanEnergy Wright_Exp,,Q,3000,,,,,,,200-8,29.7875569,-95.2797765,2011-06-30,333,POINT(-95.2797765 29.7875569)
CNG,Clean Energy - East Side Animal Control Center,8920 Lomas Blvd NE,"Timed-fill at Animal Control Center, Quick-fill in lot adjacent to it",Albuquerque,NM,87112,,,E,,Private - government only,,,,B,3000,,,,,,,200-8,35.0867885,-106.5450022,2011-11-30,350,POINT(-106.5450022 35.0867885)
CNG,Clean Energy - Santa Fe Trails Transit,2931 Rufina St,,Santa Fe,NM,87507,2928,505-955-2001,E,,Public - credit card at all times,24 hours daily,M V CleanEnergy,,Q,3000 3600,,,,,,,200-8,35.6578276,-105.9933382,2011-06-30,360,POINT(-105.9933382 35.6578276)
CNG,Kansas Gas Service,11401 W 89th St,"Between I-35 and Highway 69, off 87th Street exit",Overland Park,KS,66214,1705,913-319-8600,E,,Public - credit card at all times,24 hours daily. NOTE: 3600 psi may not be available for heavy-duty vehicles,M V,,Q,3000 3600,,,,,,,200-8,38.966048,-94.716947,2011-05-31,372,POINT(-94.716947 38.966048)
CNG,Intermountain Gas Co,555 S Cole Rd,,Boise,ID,83709,940,,E,,Private access only,,,,Q,3000,,,,,,,200-8,43.599167,-116.275946,2012-02-29,408,POINT(-116.275946 43.599167)
CNG,Intermountain Gas Co,12584 W Tyhee Rd,,Pocatello,ID,83202,5111,,E,,Private access only,,,,Q,3000,,,,,,,200-8,42.9496325,-112.468075,2012-02-29,413,POINT(-112.468075 42.9496325)
CNG,Intermountain Gas Co,687 Blue Lakes Blvd N,,Twin Falls,ID,83301,6547,,E,,Private access only,,,,Q,3000,,,,,,,200-8,42.573928,-114.461154,2012-02-29,414,POINT(-114.461154 42.573928)
CNG,Intermountain Gas Co,1527 Hollipark,,Idaho Falls,ID,83402,3217,,E,,Private access only,,,,Q,3000,,,,,,,200-8,43.509729,-112.007445,2012-02-29,415,POINT(-112.007445 43.509729)
CNG,Intermountain Gas Co,2921 Caldwell Blvd,,Nampa,ID,83651,6499,,E,,Private access only,,,,Q,3000,,,,,,,200-8,43.615117,-116.618458,2012-02-29,416,POINT(-116.618458 43.615117)
CNG,ValleyRide,4788 S Orchard,,Boise,ID,83705,4953,,E,,Private access only,,,,Q,3600,,,,,,,200-8,43.5588593,-116.2437304,2011-01-31,418,POINT(-116.2437304 43.5588593)
CNG,Kansas Gas Service,200 E 1st Ave,"I-70 N, 4th Street exit, to 1st Avenue and Monroe, in Building B",Topeka,KS,66603,,913-319-8600,E,,Public - credit card at all times,24 hours daily; 3600 psi may not be available for heavy-duty vehicles,M V,,Q,3000 3600,,,,,,,GPS,39.058747,-95.667889,2011-10-31,434,POINT(-95.667889 39.058747)
CNG,Long Beach Water Department,1800 E Wardlow Rd,,Long Beach,CA,90807,4994,,E,,Private access only,,,,Q,3000,,,,,,,200-8,33.8189035,-118.1697942,2011-04-30,436,POINT(-118.1697942 33.8189035)
CNG,Laclede Gas Company - Central,3950 Forest Park Blvd,,Saint Louis,MO,63108,,,E,,Private access only,,,,T,3000,,,,,,,200-8,38.634723,-90.2442389,2011-01-31,439,POINT(-90.2442389 38.634723)
CNG,Laclede Gas Co - Shrewsbury Facility,4118 Shrewsbury Ave,"Intersection of I-44 and Shrewsbury. Customers must meet vehicular requirements, contact station for details.",Saint Louis,MO,63119,2115,314-342-0684,E,,Public - call ahead,6:30am-6pm M-F; no weekend/holiday hours; call station number for access requirements; FuelMan card required,FuelMan,,Q,3000 3600,,,,,,,200-8,38.598614,-90.323459,2011-03-31,440,POINT(-90.323459 38.598614)
CNG,Clean Energy - National Grid Brentwood Service Center,1650 Islip Ave,"I-495, exit onto SR-111 S, station is on the right in KeySpan yard",Brentwood,NY,11717,5294,631-348-6179,E,,Public - credit card at all times,24 hours daily,D M V Voyager Wright_Exp CleanEnergy,,Q,3000 3600,,,,,,,200-8,40.784165,-73.219242,2011-06-30,448,POINT(-73.219242 40.784165)
CNG,Clean Energy - National Grid Hicksville Headquarters,175 E Old Country Rd,"From I-495 exit onto SR-107 S, left onto E Old Country Road, station on the right in KeySpan yard",Hicksville,NY,11801,4257,516-545-4148,E,,Public - credit card at all times,24 hours daily,D M V Voyager Wright_Exp CleanEnergy,,Q,3000 3600,,,,,,,200-8,40.76616,-73.512375,2011-06-30,449,POINT(-73.512375 40.76616)
CNG,Clean Energy - City of Irving,128 N Briery Rd,"From Rock Island Road, north on Briery Road",Irving,TX,75061,6326,866-278-3674,E,,Public - credit card at all times,24 hours daily,M V Voyager CleanEnergy,,Q,3000,,,,,,,200-8,32.817883,-96.988716,2011-06-30,453,POINT(-96.988716 32.817883)
CNG,Clean Energy - Downtown Dallas,801 S Riverfront,Located at Fuel City Truck Stop,Dallas,TX,75207,,866-278-3674,E,,Public - credit card at all times,24 hours daily,M V Voyager CleanEnergy Wright_Exp,,Q,3000 3600,,,,,,,GPS,32.776194,-96.813944,2012-02-29,456,POINT(-96.813944 32.776194)
CNG,Fort Worth Transportation Authority - The T,1600 E Lancaster Ave,,Fort Worth,TX,76102,6727,,E,,Private - government only,,,,Q,3000 3600,,,,,,,200-8,32.7458021,-97.3110842,2011-11-30,465,POINT(-97.3110842 32.7458021)
CNG,Clean Energy - Garland,3526 Security St,"I-635, north on Jupiter Road, right on Security Street",Garland,TX,75042,7626,866-278-3674,E,,Public - credit card at all times,24 hours daily,M V Voyager CleanEnergy,,Q,3000,,,,,,,200-8,32.8972525,-96.6837518,2011-06-30,477,POINT(-96.6837518 32.8972525)
CNG,Montana-Dakota Utilities Co,801 Airport Rd,"I-94, exit 37, south on Bismark Expressway, north on Airport Road",Bismarck,ND,58504,6112,701-224-5807,E,,Public - card key at all times,Call ahead for paid access 8am-5pm M-F; contact station to arrange for card key,,,Q,2400 3000,,,,,,,200-8,46.7968696,-100.7628074,2011-07-31,490,POINT(-100.7628074 46.7968696)
CNG,Montana-Dakota Utilities Co,1133 W Broadway St,"I-94, exit 61 S onto State Route 22, railroad underpass to Broadway, west on 11th Avenue S",Dickinson,ND,58601,5514,701-224-5807,E,,Public - card key at all times,Call ahead for paid access 8am-5pm M-F; contact station to arrange for card key,,,Q,2400 3000,,,,,,,200-8,46.8759992,-102.80606,2011-07-31,491,POINT(-102.80606 46.8759992)
CNG,Montana-Dakota Utilities Co,408 N 18th St,"I-90, exit 450 N onto S 27th Street, east on 4th Avenue N, north on N 18th",Billings,MT,59101,1441,701-224-5807,E,,Public - card key at all times,Call ahead for paid access 8am-5pm M-F; contact station to arrange for card key for 24 hour access,,,Q,2400 3000,,,,,,,200-8,45.7906579,-108.4961408,2011-07-31,494,POINT(-108.4961408 45.7906579)
CNG,Montana-Dakota Utilities Co,2001 N Merrill Ave,"I-94, exit onto 215, south on Merrill Avenue, station on left",Glendive,MT,59330,1927,701-224-5807,E,,Public - card key at all times,Call ahead for paid access 8am-5pm M-F; contact station to arrange for card key,,,Q,2400 3000,,,,,,,200-8,47.129381,-104.693883,2011-07-31,497,POINT(-104.693883 47.129381)
CNG,Baggs Station - Questar Gas,140 N Penland St,,Baggs,WY,82321,,,E,,Private access only,,,,T,3000,,,,,,,200-8,41.0333719,-107.6578538,2011-05-31,499,POINT(-107.6578538 41.0333719)
CNG,Hiawatha Station - Questar Gas,1401 New Hampshire St,,Rock Springs,WY,82901,,,E,,Private access only,,,,T,3000,,,,,,,200-8,41.5781246,-109.2044771,2011-12-31,503,POINT(-109.2044771 41.5781246)
CNG,Questar Gas - Rock Springs,1401 New Hampshire St,,Rock Springs,WY,82901,7271,307-352-7383  801-324-5987,E,,Public - credit card at all times,24 hours daily,M V FuelMan,,Q,3000,,,,,,,200-8,41.578125,-109.2044766,2011-04-30,507,POINT(-109.2044766 41.578125)
CNG,Church Buttes Station - Questar Gas,I-80,13 miles east of Lyman on I-80,Lyman,WY,82937,,,E,,Private access only,,,,T,3000,,,,,,,200-6,41.36279,-110.319347,2011-05-31,512,POINT(-110.319347 41.36279)
CNG,Lyman Station - Questar Gas,233 N Main St,,Lyman,WY,82937,,,E,,Private access only,,,,B,3000,,,,,,,200-8,41.3305868,-110.292953,2011-05-31,513,POINT(-110.292953 41.3305868)
CNG,Coalville Station - Questar Gas,590 Border Station Rd,,Coalville,UT,84017,9704,801-324-3900,E,,Private access only,,,,T,3000,,,,,,,200-8,40.9142929,-111.3719269,2011-03-31,514,POINT(-111.3719269 40.9142929)
CNG,Heber Service Center - Questar Gas,167 W Center St,,Heber,UT,84032,1817,801-324-3900,E,,Private access only,,,,B,3000,,,,,,,200-8,40.507338,-111.416305,2011-03-31,515,POINT(-111.416305 40.507338)
CNG,Orem City,955 N 900 W,,Orem,UT,84057,3060,,E,,Private access only,,,,T,3000,,,,,,,200-8,40.3147779,-111.717746,2011-03-31,519,POINT(-111.717746 40.3147779)
CNG,Top Stop,2010 N Park Ave,"I-80, exit 145/Kimball Junction, 5 miles on SR-224, station on left",Park City,UT,84060,,435-649-3689,E,,Public - see hours,24 hours daily,Cash A D M V GasCard,,Q,3000,,,,,,,200-8,40.662426,-111.511947,2011-04-30,520,POINT(-111.511947 40.662426)
CNG,Roosevelt Service Center - Questar Gas,115 E 100 S,,Roosevelt,UT,84066,2904,801-324-3900,E,,Private access only,,,,B,3000,,,,,,,200-8,40.2981207,-109.9900856,2011-03-31,521,POINT(-109.9900856 40.2981207)
CNG,Questar Gas - Sandy,9150 S 500 W,Exit 298 off I-15,Sandy,UT,84070,,801-324-3900 801-324-5987,E,,Public - credit card at all times,24 hours daily,M V,,Q,3000 3600,,,,,,,200-8,40.5831159,-111.907707,2011-12-31,522,POINT(-111.907707 40.5831159)
CNG,Jordan School District,7387 S Campus View Dr,,West Jordan,UT,84084,,801-567-8100,E,,Public - card key at all times,24 hours daily,GasCard,,Q,3000,,,,,,,200-8,40.6273683,-111.9841401,2011-04-30,523,POINT(-111.9841401 40.6273683)
CNG,Coca-Cola Swire Holding Co,12634 S 265 W,,Draper,UT,84119,1111,801-324-3900,E,,Private access only,,,,B,3000,,,,,,,200-8,40.5221682,-111.8990002,2011-03-31,527,POINT(-111.8990002 40.5221682)
CNG,Questar Gas - Salt Lake City,1150 W 200 S,,Salt Lake City,UT,84104,1804,801-324-5987,E,,Public - credit card at all times,24 hours daily,M V GasCard Wright_Exp,,Q,3000 3600,,,,,,,200-8,40.7649995,-111.9240049,2011-12-31,528,POINT(-111.9240049 40.7649995)
CNG,Salt Lake Operations Center,1078 W 100 S,,Salt Lake City,UT,84104,1802,,E,,Private access only,,,,T,3000,,,,,,,200-8,40.7671886,-111.91969,2011-03-31,534,POINT(-111.91969 40.7671886)
CNG,Baxter Field Station - Wexpro,79 S State St,,Salt Lake City,UT,84111,1517,,E,,Private access only,,,,T,3000,,,,,,,200-8,40.7674289,-111.8881275,2011-03-31,536,POINT(-111.8881275 40.7674289)
CNG,Tesoro,1699 W North Temple,"I-80, exit 118 onto Redwood Road N, at Redwood Road",Salt Lake City,UT,84116,,801-596-7784,E,,Public - credit card at all times,24 hours daily,M V Wright_Exp,,Q,3600,,,,,,,200-8,40.7714565,-111.9390772,2011-03-31,538,POINT(-111.9390772 40.7714565)
CNG,Utah Power,1355 W North Temple,,Salt Lake City,UT,84116,3220,,E,,Private access only,,,,Q,3000,,,,,,,200-8,40.7714919,-111.9310749,2011-03-31,539,POINT(-111.9310749 40.7714919)
CNG,Coca-Cola Swire Pacific Holdings,2280 S 3270 W,,Salt Lake City,UT,84119,1112,,E,,Private access only,,,,Q,3000,,,,,,,200-8,40.7222673,-111.96926,2011-03-31,541,POINT(-111.96926 40.7222673)
CNG,Salt Lake County Oxbow Prison,3148 S 1100 W,,Salt Lake City,UT,84119,3304,,E,,Private - government only,,,,T,3000,,,,,,,200-8,40.702332,-111.923647,2011-03-31,542,POINT(-111.923647 40.702332)
CNG,Salt Lake City International Airport Authority,600 N 3700 W,AMF Box 22084,Salt Lake City,UT,84122,,,E,,Private access only,,,,Q,3000,,,,,,,200-6,40.7746769,-111.980174,2011-03-31,544,POINT(-111.980174 40.7746769)
CNG,LW's Conoco,1050 W 200 N,"Main St in Logan, west on 2nd N, 10 blocks west",Logan,UT,84321,,435-753-7461,E,,Public - see hours,24 hours daily,Cash A D M V,,Q,3000,,,,,,,200-8,41.7356284,-111.8606015,2011-04-30,548,POINT(-111.8606015 41.7356284)
CNG,Phillips 66,2105 S 1100 W,"I-15, exit onto 21st Street",Ogden,UT,84401,278,801-392-5010  801-392-9516,E,,Public - see hours,24 hours daily,Cash Checks A D M V GasCard Wright_Exp,,Q,3000,,,,,,,200-8,41.2282785,-112.0062349,2011-04-30,552,POINT(-112.0062349 41.2282785)
CNG,Ogden Time Fill - Questar Gas,2940 Washington Blvd,,Ogden,UT,84401,3721,801-324-3900,E,,Private access only,,,,T,3000,,,,,,,200-8,41.211248,-111.969673,2011-03-31,553,POINT(-111.969673 41.211248)
CNG,Lifetime Products,97 E 700 S,Building F12,Clearfield,UT,84015,,,E,,Private access only,,,,Q,3000,,,,,,,GPS,41.103937,-112.024368,2011-12-31,556,POINT(-112.024368 41.103937)
CNG,Sinclair,850 S Carbon Ave,"I-70 W, exit 156 US-6/191 N, State Route 10 and US-6/191",Price,UT,84501,4366,435-637-4002,E,,Public - see hours,24 hours daily,Cash A D M V GasCard,,Q,3000,,,,,,,200-8,39.5869839,-110.8125565,2011-04-30,558,POINT(-110.8125565 39.5869839)
CNG,Price Operations Center,322 W 1100 N,,Price,UT,84501,3925,,E,,Private access only,,,,T,3000,,,,,,,200-8,39.6170269,-110.8227794,2011-03-31,559,POINT(-110.8227794 39.6170269)
CNG,Ephraim Service Center - Questar Gas,320 S 50 W,,Ephraim,UT,84627,1392,801-324-3900,E,,Private access only,,,,Q,3000,,,,,,,200-8,39.3543013,-111.5883377,2011-03-31,563,POINT(-111.5883377 39.3543013)
